interactions,interactions,number_of_inquiries,booking_rate,number_of_inquiries2,booking_rate2,number_of_inquiries3,booking_rate3
<=3,<=3,6195,0.0,2546,0.11508248232521602,798,1.0
4-5,4-5,2520,0.006349206349206349,1298,0.300462249614792,1007,1.0
6-8,6-8,1590,0.042767295597484274,1165,0.590557939914163,1337,1.0
9-10,9-10,515,0.16116504854368932,549,0.7923497267759563,665,1.0
11-15,11-15,605,0.2793388429752066,923,0.8656554712892741,1103,1.0
16-20,16-20,346,0.4653179190751445,473,0.9238900634249472,638,1.0
21-25,21-25,196,0.5816326530612245,291,0.9175257731958762,348,1.0
26-30,26-30,131,0.6183206106870229,153,0.954248366013072,174,1.0
>30,>30,262,0.6564885496183206,244,0.9508196721311475,321,1.0
